Date,Price
2026-07-13,2960.0
2026-07-10,2944.0
2026-07-09,2910.0
2026-07-08,2871.0
2026-07-07,2875.0
2026-07-06,2797.0
2026-07-03,2717.0
2026-07-02,2650.0
2026-07-01,2562.0
2026-06-30,2501.0
2026-06-29,2490.0
2026-06-26,2524.0
2026-06-25,2591.0
2026-06-24,2634.0
2026-06-23,2667.0
2026-06-22,2684.0
2026-06-19,2722.0
2026-06-18,2659.0
2026-06-17,2653.0
2026-06-16,2670.0
2026-06-15,2720.0
2026-06-09,2818.0
2026-06-08,2916.0
2026-06-05,2981.0
2026-06-04,3037.0
2026-06-03,3124.0
2026-06-02,3205.0
2026-06-01,3222.0
2026-05-29,3224.0
2026-05-28,3226.0
2026-05-27,3124.0
2026-05-26,3085.0
2026-05-22,2991.0
2026-05-21,2964.0
2026-05-20,3005.0
2026-05-19,3054.0
2026-05-18,3092.0
2026-05-15,3151.0
2026-05-14,3195.0
2026-05-13,3189.0
2026-05-12,3063.0
2026-05-11,3001.0
2026-05-08,2978.0
2026-05-07,3034.0
2026-05-06,2991.0
2026-05-05,2832.0
2026-05-01,2730.0
2026-04-30,2686.0
2026-04-29,2670.0
2026-04-28,2677.0
2026-04-27,2666.0
2026-04-24,2665.0
2026-04-23,2673.0
2026-04-22,2675.0
2026-04-21,2640.0
2026-04-20,2633.0
2026-04-17,2567.0
2026-04-16,2523.0
2026-04-15,2484.0
2026-04-14,2354.0
2026-04-13,2250.0
2026-04-10,2201.0
2026-04-09,2161.0
2026-04-08,2139.0
2026-04-07,2095.0
2026-04-02,2066.0
2026-04-01,2030.0
2026-03-31,1995.0
2026-03-30,2017.0
2026-03-27,2031.0
2026-03-26,2014.0
2026-03-25,2001.0
2026-03-24,1989.0
2026-03-23,2037.0
2026-03-20,2056.0
2026-03-19,2057.0
2026-03-18,2064.0
2026-03-17,2024.0
2026-03-16,2038.0
2026-03-13,2028.0
2026-03-12,1972.0
2026-03-11,1926.0
2026-03-10,1919.0
2026-03-09,2066.0
2026-03-06,2010.0
2026-03-05,2138.0
2026-03-04,2233.0
2026-03-03,2242.0
2026-03-02,2187.0
2026-02-27,2140.0
2026-02-26,2117.0
2026-02-25,2121.0
2026-02-24,2129.0
2026-02-23,2112.0
2026-02-20,2043.0
2026-02-19,2019.0
2026-02-18,2063.0
2026-02-17,2095.0
2026-02-16,2100.0
2026-02-13,2083.0
2026-02-12,2095.0
2026-02-11,1958.0
2026-02-10,1882.0
2026-02-09,1895.0
2026-02-06,1923.0
2026-02-05,1936.0
2026-02-04,1955.0
2026-02-03,2028.0
2026-02-02,2124.0
2026-01-30,2148.0
2026-01-29,2002.0
2026-01-28,2016.0
2026-01-27,1999.0
2026-01-26,1780.0
2026-01-23,1762.0
2026-01-22,1761.0
2026-01-21,1803.0
2026-01-20,1729.0
2026-01-19,1650.0
2026-01-16,1567.0
2026-01-15,1532.0
2026-01-14,1566.0
2026-01-13,1608.0
2026-01-12,1659.0
2026-01-09,1688.0
2026-01-08,1718.0
2026-01-07,1776.0
2026-01-06,1830.0
2026-01-05,1851.0
2026-01-02,1882.0
2025-12-24,1877.0
2025-12-23,1889.0
2025-12-22,1979.0
2025-12-19,2023.0
2025-12-18,2071.0
2025-12-17,2121.0
2025-12-16,2204.0
2025-12-15,2193.0
2025-12-12,2205.0
2025-12-11,2294.0
2025-12-10,2430.0
2025-12-09,2557.0
2025-12-08,2694.0
2025-12-05,2727.0
2025-12-04,2814.0
2025-12-03,2845.0
2025-12-02,2600.0
2025-12-01,2583.0
2025-11-28,2560.0
2025-11-27,2480.0
2025-11-26,2401.0
2025-11-25,2309.0
2025-11-24,2295.0
2025-11-21,2275.0
2025-11-20,2270.0
2025-11-19,2260.0
2025-11-18,2216.0
2025-11-17,2153.0
2025-11-14,2125.0
2025-11-13,2077.0
2025-11-12,2030.0
2025-11-11,2072.0
2025-11-10,2084.0
2025-11-07,2104.0
2025-11-06,2063.0
2025-11-05,2003.0
2025-11-04,1958.0
2025-11-03,1945.0
2025-10-31,1966.0
2025-10-30,1983.0
2025-10-29,1961.0
2025-10-28,1950.0
2025-10-27,1976.0
2025-10-24,1991.0
2025-10-23,2057.0
2025-10-21,2094.0
2025-10-20,2071.0
2025-10-17,2069.0
2025-10-16,2046.0
2025-10-15,1997.0
2025-10-14,2022.0
2025-10-13,2144.0
2025-10-10,1936.0
2025-10-09,1923.0
2025-10-08,1963.0
2025-10-07,1947.0
2025-10-06,1932.0
2025-10-03,1901.0
2025-10-02,1909.0
2025-10-01,1980.0
2025-09-30,2134.0
2025-09-29,2220.0
2025-09-26,2259.0
2025-09-25,2266.0
2025-09-24,2240.0
2025-09-23,2200.0
2025-09-22,2172.0
2025-09-19,2203.0
2025-09-18,2205.0
2025-09-17,2180.0
2025-09-16,2154.0
2025-09-15,2153.0
2025-09-12,2126.0
2025-09-11,2111.0
2025-09-10,2112.0
2025-09-09,2079.0
2025-09-08,2019.0
2025-09-05,1979.0
2025-09-04,1963.0
2025-09-03,1940.0
2025-09-02,1986.0
2025-09-01,2024.0
2025-08-29,2025.0
2025-08-28,2017.0
2025-08-27,2046.0
2025-08-26,2041.0
2025-08-22,1944.0
2025-08-21,1893.0
2025-08-20,1927.0
2025-08-19,1964.0
2025-08-18,2022.0
2025-08-15,2044.0
2025-08-14,2039.0
2025-08-13,2025.0
2025-08-12,2017.0
2025-08-11,2038.0
2025-08-08,2051.0
2025-08-07,2008.0
2025-08-06,1994.0
2025-08-05,1921.0
2025-08-04,1970.0
2025-08-01,2018.0
2025-07-31,2003.0
2025-07-30,1995.0
2025-07-29,2109.0
2025-07-28,2226.0
2025-07-25,2257.0
2025-07-24,2258.0
2025-07-23,2120.0
2025-07-22,2035.0
2025-07-21,2016.0
2025-07-18,2052.0
2025-07-17,2030.0
2025-07-16,1906.0
2025-07-15,1866.0
2025-07-14,1783.0
2025-07-11,1663.0
2025-07-10,1465.0
2025-07-09,1423.0
2025-07-08,1431.0
2025-07-07,1436.0
2025-07-04,1436.0
2025-07-03,1434.0
2025-07-02,1443.0
2025-07-01,1458.0
2025-06-30,1489.0
2025-06-27,1521.0
2025-06-26,1553.0
2025-06-25,1665.0
2025-06-24,1681.0
2025-06-23,1674.0
2025-06-20,1689.0
2025-06-19,1751.0
2025-06-18,1874.0
2025-06-17,1952.0
2025-06-16,1975.0
2025-06-13,1968.0
2025-06-12,1904.0
2025-06-11,1738.0
2025-06-10,1680.0
2025-06-09,1691.0
2025-06-06,1633.0
2025-06-05,1626.0
2025-06-04,1489.0
2025-06-03,1430.0
2025-06-02,1422.0
2025-05-30,1418.0
2025-05-29,1353.0
2025-05-28,1303.0
2025-05-27,1296.0
2025-05-23,1340.0
2025-05-22,1341.0
2025-05-21,1337.0
2025-05-20,1340.0
2025-05-19,1347.0
2025-05-16,1388.0
2025-05-15,1305.0
2025-05-14,1267.0
2025-05-13,1280.0
2025-05-12,1304.0
2025-05-09,1299.0
2025-05-08,1316.0
2025-05-07,1374.0
2025-05-06,1406.0
2025-05-02,1421.0
2025-05-01,1411.0
2025-04-30,1386.0
2025-04-29,1398.0
2025-04-28,1403.0
2025-04-25,1373.0
2025-04-24,1353.0
2025-04-23,1300.0
2025-04-22,1261.0
2025-04-17,1261.0
2025-04-16,1241.0
2025-04-15,1263.0
2025-04-14,1282.0
2025-04-11,1274.0
2025-04-10,1269.0
2025-04-09,1259.0
2025-04-08,1342.0
2025-04-07,1401.0
2025-04-04,1489.0
2025-04-03,1540.0
2025-04-02,1583.0
2025-04-01,1587.0
2025-03-31,1598.0
2025-03-28,1602.0
2025-03-27,1621.0
2025-03-26,1634.0
2025-03-25,1642.0
2025-03-24,1652.0
2025-03-21,1643.0
2025-03-20,1635.0
2025-03-19,1637.0
2025-03-18,1650.0
2025-03-17,1658.0
2025-03-14,1669.0
2025-03-13,1650.0
2025-03-12,1559.0
2025-03-11,1436.0
2025-03-10,1424.0
2025-03-07,1400.0
2025-03-06,1286.0
2025-03-05,1228.0
2025-03-04,1262.0
2025-03-03,1276.0
2025-02-28,1229.0
2025-02-27,1159.0
2025-02-26,1112.0
2025-02-25,1039.0
2025-02-24,1002.0
2025-02-21,981.0
2025-02-20,941.0
2025-02-19,904.0
2025-02-18,841.0
2025-02-17,806.0
2025-02-14,792.0
2025-02-13,780.0
2025-02-12,776.0
2025-02-11,801.0
2025-02-10,809.0
2025-02-07,815.0
2025-02-06,793.0
2025-02-05,771.0
2025-02-04,753.0
2025-02-03,738.0
2025-01-31,735.0
2025-01-30,715.0
2025-01-29,726.0
2025-01-28,746.0
2025-01-27,761.0
2025-01-24,778.0
2025-01-23,824.0
2025-01-22,893.0
2025-01-21,928.0
2025-01-20,957.0
2025-01-17,987.0
2025-01-16,1023.0
2025-01-15,1063.0
2025-01-14,1080.0
2025-01-13,1093.0
2025-01-10,1048.0
2025-01-09,969.0
2025-01-08,966.0
2025-01-07,1015.0
2025-01-06,1043.0
2025-01-03,1072.0
2025-01-02,1029.0
2024-12-24,997.0
2024-12-23,994.0
2024-12-20,990.0
2024-12-19,976.0
2024-12-18,1028.0
2024-12-17,1053.0
2024-12-16,1071.0
2024-12-13,1051.0
2024-12-12,1055.0
2024-12-11,1106.0
2024-12-10,1156.0
2024-12-09,1168.0
2024-12-06,1167.0
2024-12-05,1160.0
2024-12-04,1180.0
2024-12-03,1237.0
2024-12-02,1298.0
2024-11-29,1354.0
2024-11-28,1419.0
2024-11-27,1509.0
2024-11-26,1581.0
2024-11-25,1529.0
2024-11-22,1537.0
2024-11-21,1576.0
2024-11-20,1616.0
2024-11-19,1627.0
2024-11-18,1756.0
2024-11-15,1785.0
2024-11-14,1692.0
2024-11-13,1630.0
2024-11-12,1634.0
2024-11-11,1558.0
2024-11-08,1495.0
2024-11-07,1451.0
2024-11-06,1427.0
2024-11-05,1405.0
2024-11-04,1374.0
2024-11-01,1378.0
2024-10-31,1388.0
2024-10-30,1395.0
2024-10-29,1402.0
2024-10-28,1382.0
2024-10-25,1410.0
2024-10-24,1417.0
2024-10-23,1445.0
2024-10-22,1480.0
2024-10-21,1546.0
2024-10-18,1576.0
2024-10-17,1594.0
2024-10-16,1676.0
2024-10-15,1766.0
2024-10-14,1814.0
2024-10-11,1809.0
2024-10-10,1790.0
2024-10-09,1799.0
2024-10-08,1860.0
2024-10-07,1907.0
2024-10-04,1928.0
2024-10-03,1941.0
2024-10-02,1978.0
2024-10-01,2030.0
2024-09-30,2084.0
2024-09-27,2110.0
2024-09-26,2091.0
2024-09-25,2016.0
2024-09-24,2014.0
2024-09-23,1999.0
2024-09-20,1977.0
2024-09-19,1976.0
2024-09-18,1890.0
2024-09-17,1901.0
2024-09-16,1896.0
2024-09-13,1890.0
2024-09-12,1927.0
2024-09-11,1963.0
2024-09-10,1941.0
2024-09-09,1958.0
2024-09-06,1941.0
2024-09-05,1919.0
2024-09-04,1902.0
2024-09-03,1947.0
2024-09-02,1919.0
2024-08-30,1814.0
2024-08-29,1827.0
2024-08-28,1755.0
2024-08-27,1721.0
2024-08-23,1762.0
2024-08-22,1768.0
2024-08-21,1759.0
2024-08-20,1735.0
2024-08-19,1708.0
2024-08-16,1691.0
2024-08-15,1692.0
2024-08-14,1728.0
2024-08-13,1670.0
2024-08-12,1655.0
2024-08-09,1670.0
2024-08-08,1683.0
2024-08-07,1698.0
2024-08-06,1685.0
2024-08-05,1677.0
2024-08-02,1675.0
2024-08-01,1668.0
2024-07-31,1708.0
2024-07-30,1762.0
2024-07-29,1797.0
2024-07-26,1808.0
2024-07-25,1834.0
2024-07-24,1864.0
2024-07-23,1869.0
2024-07-22,1896.0
2024-07-19,1902.0
2024-07-18,1912.0
2024-07-17,1890.0
2024-07-16,1942.0
2024-07-15,1993.0
2024-07-12,1997.0
2024-07-11,1947.0
2024-07-10,1939.0
2024-07-09,1894.0
2024-07-08,1940.0
2024-07-05,1966.0
2024-07-04,2021.0
2024-07-03,2064.0
2024-07-02,2179.0
2024-07-01,2158.0
2024-06-28,2050.0
2024-06-27,2031.0
2024-06-26,1964.0
2024-06-25,1926.0
2024-06-24,1973.0
2024-06-21,1997.0
2024-06-20,1984.0
2024-06-19,1943.0
2024-06-18,1961.0
2024-06-17,1948.0
